lema,cantidad
apoyo,20
competencia secretaria,20
concesion,20
contenido,20
coordinacion area administracion,20
coordinacion organismo,20
creacion,20
establecimiento,20
externo,20
forma,20
integrado,20
internacional materia,20
nacional provincial ciudad,20
objetivo politica,20
oferta,20
prevencion,20
reforma,20
base,19
comercial,19
determinacion,19
distribucion,19
estandar,19
extranjero,19
gobierno provincial ciudad,19
grupo,19
gubernamental,19
juridico,19
legal,19
modalidad,19
nacional ambito competencia,19
oficial,19
organismo competente,19
otorgamiento,19
permanente,19
politica nacional,19
politica plan,19
politico,19
producto,19
provincial municipal,19
regulacion,19
valor,19
capital,18
competitividad,18
conocimiento,18
exportacion,18
fuerza,18
gobierno nacional,18
informe,18
intercambio,18
operativo,18
personal,18
politica plan programa,18
primario secretaria,18
provincia ciudad,18
provincia ciudad autonomo,18
requerimiento,18
responsabilidad primario secretaria,18
atencion,17
autoridad aplicacion,17
caso,17
comision nacional,17
comunicacion,17
contratacion,17
dato,17
demas,17
desarrollo politica,17
descentralizado,17
ente,17
etapa,17
incentivo,17
industria,17
insercion,17
natural,17
objeto,17
prestacion,17
salud,17
secretaria diseno,17
universidad,17
celebracion,16
congreso,16
decision,16
directiva,16
diseno ejecucion,16
fiscal,16
generacion,16
identificacion,16
incorporacion,16
instrumentacion,16
interjurisdiccional,16
jefe,16
mediano,16
modernizacion,16
modificacion,16
modificatoria,16
necesidad,16
politica accion,16
politica desarrollo,16
politica publico,16
presidente,16
previsto,16
prioridad,16
prioritario,16
programa accion,16
respectivo,16
reunion,16
sector productivo,16
sistema nacional,16
subsecretaria,16
trav,16
aprobacion,15
area administracion publico,15
area jurisdiccion,15
cadena,15
capacidad,15
competencia elaboracion,15
curso,15
dicho,15
efecto,15
elaboracion plan,15
elaboracion proyecto,15
inclusion,15
instituto,15
jefe gabinete,15
jefe gabinete ministro,15
jurisdiccion competencia,15
marco regulatorio,15
nacional coordinacion,15
nacional secretaria,15
orbita,15
poder,15
presidencia,15
presidente nacion,15
referente,15
resolucion,15
riesgo,15
secretaria elaboracion,15
servicio publico,15
sistema informacion,15
titulo,15
aplicacion politica,14
area administracion nacional,14
bilateral multilateral,14
centro,14
cientifico,14
competencia coordinacion,14
complementario,14
comun,14
comunitario,14
conformidad,14
constitucion,14
cultural,14
definicion politica,14
derechos,14
diagnostico,14
directo,14
dirigido,14
educativo,14
ejecucion programa,14
explotacion,14
internacional coordinacion,14
mercosur,14
ministerio economia,14
municipio,14
nacional empresa,14
nivel nacional,14
objetivo secretaria,14
operacion,14
organizacion sociedad,14
organizacion sociedad civil,14
plan nacional,14
planeamiento,14
prestacion servicio,14
presupuesto,14
promocion desarrollo,14
resultado,14
seguimiento politica,14
subsecretario,14
territorial,14
transparencia,14
tratamiento,14
vinculacion,14
zona,14
administracion nacional competencia,13
ambito competencia elaboracion,13
area competente administracion,13
area jurisdiccion competencia,13
asignacion,13
asociado,13
cargo,13
central,13
ciudadano,13
competencia especifico materia,13
competente administracion,13
competente materia,13
contrato,13
coordinacion area jurisdiccion,13
coordinacion secretaria,13
credito,13
delito,13
derechos humanos,13
educacion,13
emergencia,13
especifico materia,13
estadistica,13
estatal,13
fisico,13
frontera,13
humanos,13
interes,13
jurisdiccion provincial,13
linea,13
mejoramiento,13
nacional elaboracion,13
politica estrategia,13
politica exterior,13
practica,13
profesional,13
publico nacional competencia,13
simplificacion,13
subsidio,13
tematica,13
territorio nacional,13
transformacion,13
transporte,13
accion necesario,12
accion tendient,12
acto administrativo,12
adecuado,12
agencia,12
area competencia especifico,12
asignado,12
basado,12
bien servicio,12
comercializacion,12
competencia ejecucion,12
consulta,12
costo,12
cumplimiento objetivo,12
demanda,12
desarrollo actividad,12
desempeno,12
determinacion objetivo,12
digital,12
diseno implementacion politica,12
distinto area,12
eficiencia,12
ejecucion plan,12
gasto,12
global,12
ingreso,12
iniciativa,12
instituto nacional,12
jefatura,12
jefatura gabinete,12
justicia,12
laboral,12
lineamiento estrategico,12
medio,12
modelo,12
nacional materia,12
normativa vigente,12
obligacion,12
oportunidad,12
organo,12
pertinente,12
plazo,12
presupuestario,12
programa proyecto area,12
protocolo,12
proyecto area,12
proyecto area competencia,12
registro nacional,12
relacion organismo,12
respuesta,12
secretaria participacion,12
seguridad social,12
tenencia,12
termino,12
accion relativo,11
accionario,11
accionario tenencia,11
accionario tenencia accionario,11
aplicable,11
aplicacion regimen,11
colaboracion,11
comercio internacional,11
competencia ambito,11
concerniente,11
conforme directiva,11
consolidacion,11
constitucion nacional,11
consumo,11
contemplado,11
cooperacion tecnico,11
coordinacion accion,11
culto,11
determinacion objetivo politica,11
dictado,11
elaborado,11
empresa sector,11
familiar,11
fiduciario,11
fondo fiduciario,11
implementacion programa,11
integrante,11
jurisdiccion entidad,11
jurisdiccion nacional,11
legislacion,11
licitatorio,11
mantenimiento,11
materia diseno,11
materia politica,11
nacional provincial municipal,11
naturaleza,11
orden,11
participacion accionario,11
participacion accionario tenencia,11
plan accion,11
plataforma,11
pliego,11
policia,11
politica publica,11
preservacion,11
principio,11
programa nacional,11
programacion,11
recuperacion,11
tenencia accionario,11
toma,11
toma decision,11
tributario,11
accion area,10
accion vinculado,10
accionar,10
actuant,10
agregado,10
agua,10
aires municipio,10
ambito nacional,10
area competente ministerio,10
area ministerio,10
autonomo aires municipio,10
cadena valor,10
celebracion convenio,10
competencia ambito competencia,10
competencia ministro,10
competente ministerio,10
concurso,10
congreso nacion,10
construccion,10
coordinacion organismo competente,10
criminal,10
dependencia,10
desarrollo implementacion,10
desarrollo proyecto,10
desregulacion,10
director,10
diseno elaboracion,10
diseno estrategia,10
documento,10
estadistico,10
exterior coordinacion,10
feria,10
fijacion,10
importacion,10
investigacion desarrollo,10
legislativo,10
material,10
mediano plazo,10
militar,10
mision,10
nacion jefe,10
nacion jefe gabinete,10
organismo descentralizado,10
origen,10
planificacion desarrollo,10
planificacion ejecucion,10
poblacion,10
racional,10
reconocimiento,10
regimen incentivo,10
relevamiento,10
sanitario,10
secretaria promocion,10
secretaria relacion,10
solucion,10
sostenible,10
superior,10
transferencia,10
utilizacion,10
accion organismo,9
activo,9
actor,9
actuacion,9
actuant orbita,9
ambito competencia ejecucion,9
ambito competencia promocion,9
aplicacion titulo,9
area competencia elaborado,9
area competente jurisdiccion,9
argentino exterior,9
armonizacion,9
atinente,9
autorizacion,9
base condicion,9
campo,9
canal,9
centralizado,9
comite,9
competencia aplicacion,9
competencia elaborado,9
competencia elaborado conforme,9
competencia proceso,9
competencia promocion,9
competente administracion publico,9
competente jurisdiccion,9
compromiso,9
conservacion,9
contralor,9
controversia,9
coordinacion ministerio,9
coordinacion politica,9
coordinado,9
cualquiera,9
cuerpo,9
curso accion,9
cuyo,9
dependiente,9
desarrollo economico,9
desarrollo productivo,9
desconcentrado,9
director nacional,9
director nacional empresa,9
diseno desarrollo,9
diseno ejecucion politica,9
distinto jurisdiccion,9
ejecutoro,9
elaboracion ejecucion politica,9
elaboracion plan programa,9
elaborado conforme,9
elaborado conforme directiva,9
eliminacion,9
emision,9
empresa secretaria,9
empresa secretaria participacion,9
energetico,9
evaluacion politica,9
evento,9
facultad,9
formulacion ejecucion,9
gestion director,9
gestion director nacional,9
gubernamental gubernamental,9
implementacion plan,9
indicador,9
industrial,9
insumo,9
internacional coordinacion area,9
interno externo,9
jefatura gabinete ministro,9
judicial,9
jurisdiccion competencia materia,9
jurisdiccion provincial ciudad,9
materia elaboracion,9
metodologia,9
ministerio competencia,9
ministerio justicia,9
ministerio relacion,9
mundial,9
nacional empresa secretaria,9
nacional organismo,9
nacional planificacion,9
nacional relacion,9
obtencion,9
organismo nacional provincial,9
organismo provincial,9
organizacion gubernamental,9
planificacion politica,9
planificacion seguimiento,9
politica economico,9
precio,9
proceso integracion,9
proceso licitatorio,9
productividad,9
proyecto inversion,9
punto,9
reduccion,9
relacion exterior,9
representacion nacional,9
secretaria ambito,9
secretaria ambito competencia,9
secretaria articulacion,9
secretaria formulacion,9
secretaria participacion accionario,9
seguro,9
sistematizacion,9
tema relacionado,9
transversal,9
unidad ejecutoro,9
vulnerabilidad,9
zona frontera,9
accion materia,8
accion politica,8
acuerdo organismo,8
alto,8
ambiente,8
ambito competencia aplicacion,8
ambito competencia coordinacion,8
aplicacion titulo regimen,8
arancelaria,8
arma,8
armado,8
asociacion,8
banco,8
carga,8
ciclo,8
ciencia,8
cobertura,8
comercio internacional culto,8
competencia accion,8
competencia plan,8
confeccion,8
conflicto,8
conforme directiva ejecutivo,8
control fiscalizacion,8
convocatoria,8
coordinacion organismo nacional,8
coordinacion secretaria coordinacion,8
cultura,8
despliegue,8
directiva ejecutivo,8
directiva ejecutivo nacional,8
dispuesto,8
diversidad,8
ejercicio derecho,8
empresaria,8
empresaria organizacion,8
empresaria organizacion gubernamental,8
entidad empresaria,8
entidad empresaria organizacion,8
equipo,8
especializado,8
estructura arancelaria,8
estudio investigacion,8
evaluacion impacto,8
exterior comercio,8
exterior comercio internacional,8
familia,8
financiero internacional,8
firma,8
fomento desarrollo,8
fortalecimiento institucional,8
fuente,8
fuerza policial,8
funcionamiento sistema,8
funcionario,8
gabinete ministro orden,8
gubernamental universidad,8
honorable,8
honorable congreso,8
honorable congreso nacion,8
incentivo inversion,8
incentivo inversion rigi,8
inciso,8
inscripcion,8
instrumento promocion,8
internacional ambito,8
internacional culto,8
interpretacion,8
inversion rigi,8
licencia,8
licitacion,8
logistico,8
materia desarrollo,8
materia secretaria,8
meta,8
ministerio defensa,8
ministerio relacion exterior,8
ministro ambito,8
ministro ambito competencia,8
ministro elaboracion,8
ministro orden,8
ministro orden competencia,8
nacion elaboracion,8
nacion secretaria,8
nacional accion,8
nacional gobierno,8
nacional objetivo,8
nacional provincia,8
nacional regional,8
nivel federal,8
obra infraestructura,8
optimizacion,8
orden competencia,8
organizacion gubernamental gubernamental,8
pesca,8
planeamiento estrategico,8
planificacion estrategico,8
pliego base,8
pliego base condicion,8
policial,8
politica materia,8
presidencia nacion,8
prestacion servicio publico,8
primario ministro,8
producido,8
promocion proteccion,8
propuesto,8
proveniente,8
publico nacional provincial,8
punto vista,8
recurso natural,8
regimen incentivo inversion,8
regimen promocion,8
regulatoria,8
relacion exterior comercio,8
relevancia,8
relevante,8
responsabilidad primario ministro,8
responsable,8
revision,8
rigi,8
secretaria desarrollo,8
secretaria materia,8
seguimiento evaluacion,8
sustancia,8
sustentable,8
tecnica,8
tecnico materia,8
temporario,8
tesoro,8
titulo regimen,8
titulo regimen incentivo,8
tribunal,8
unico,8
vida,8
vista,8
academico,7
accion destinado,7
accion secretaria,7
acompanamiento,7
aereo,7
agenda,7
agricultura,7
alcance,7
almacenamiento,7
ambito competencia ambito,7
ambito competencia ministro,7
ambito competencia proceso,7
ambito competencia secretaria,7
aplicacion norma,7
area competencia plan,7
area competente materia,7
articulo constitucion,7
articulo constitucion nacional,7
asesoramiento,7
atribucion,7
campana,7
capacitacion recurso,7
capacitacion recurso humano,7
capital humano,7
centralizado descentralizado,7
combustible,7
competencia desarrollo,7
competencia diseno,7
competencia formulacion,7
competencia materia diseno,7
competencia programa,7
componente,7
comprendido,7
conduccion,7
contable,7
creado decreto,7
crecimiento,7
defensa nacional,7
desarrollo sector,7
desarrollo tecnologico,7
desastre,7
deteccion,7
distinto etapa,7
diverso,7
documentacion,7
donacion,7
droga,7
efectivo,7
eficiente,7
ejecucion politica nacional,7
ejecucion proyecto,7
ejecucion seguimiento,7
ejecutoro especial,7
ejecutoro especial temporario,7
electronico,7
empleador,7
energia,7
entidad administracion,7
equipamiento,7
especial temporario,7
especialmente,7
esquema,7
estrategia politica,7
estrategico secretaria,7
estupefaciente,7
estupefaciente sustancia,7
existente,7
exposicion,7
financiamiento externo,7
foro,7
