lema,cantidad
fuerza armado,7
fuerza policial seguridad,7
gubernamental gubernamental universidad,7
habitante,7
igualdad,7
implementacion estrategia,7
inclusion social,7
industria comercio,7
informacion estadistico,7
informacion gestion,7
insercion internacional,7
interaccion,7
internacional ambito competencia,7
jurisdiccion competencia especifico,7
jurisdiccion entidad administracion,7
legislacion nacional,7
libertad,7
lineamiento politica,7
marco politica,7
materia ambito,7
materia ambito competencia,7
materia derechos,7
materia derechos humanos,7
materia recurso,7
mediano empresa,7
ministerio publico,7
ministro relacion,7
nacional formulacion,7
objetivo diseno,7
objetivo politica area,7
obra publica,7
obra servicio,7
organismo entidad,7
pago,7
patrimonio,7
pauta,7
pequeno,7
perspectiva,7
pleno,7
policial seguridad,7
politica area,7
politica area competencia,7
politica nacional materia,7
politica norma,7
presidente nacion jefe,7
productor,7
programa vinculado,7
promocion politica,7
proyeccion,7
racional recurso,7
region,7
representacion empresa,7
representacion empresa secretaria,7
salarial,7
sancion,7
secretaria ejercicio,7
seguridad interior,7
seguridad nacional,7
situacion vulnerabilidad,7
societario,7
tecnico financiero,7
terrestre,7
tramitacion,7
transmision,7
tratado,7
unidad ejecutoro especial,7
unificado,7
usuario,7
valor agregado,7
vicejefatura,7
vicejefatura gabinete,7
vigente materia,7
vinculado competencia,7
abordaje,6
acceso informacion,6
accion asistencia,6
accion promocion,6
acorde,6
actividad economico,6
actividad vinculado,6
acuerdo organismo provincial,6
administracion recurso,6
administracion recurso humano,6
adopcion,6
agente,6
agricultura ganaderia,6
agricultura ganaderia pesca,6
alternativo,6
ambito competencia formulacion,6
anteproyecto,6
anual,6
apertura,6
aplicacion normativa,6
aprovechamiento,6
area correspondiente,6
area gobierno,6
armadas,6
articulacion politica,6
articulo inciso,6
asistencia tecnico materia,6
beneficio,6
cabo,6
calificacion,6
camara,6
certificado,6
cientifico tecnologico,6
colectivo,6
comercio exterior,6
compensacion,6
competencia aplicacion titulo,6
competencia articulacion,6
competencia plan programa,6
competencia politica,6
comprometido,6
concesionario,6
consideracion,6
continuo,6
control ejecucion,6
cooperacion integracion,6
coordinacion ejecucion,6
coordinacion relacion,6
coordinacion sistema,6
crisis,6
definido,6
derecho societario,6
desarrollo accion,6
direccion fiscalizacion,6
direccion fiscalizacion registro,6
disposicion,6
dispositivo,6
distorsion,6
economia regional,6
economia secretario,6
economico financiero,6
economico internacional,6
ejecucion accion,6
ejecucion evaluacion,6
ejecucion plan programa,6
ejecucion supervision,6
ejercicio derecho societario,6
elaboracion norma,6
elaboracion pliego,6
elaboracion politica nacional,6
empresa sociedad,6
enfermedad,6
enlace,6
ente nacional,6
equidad,6
estrategia insercion,6
estrategia insercion internacional,6
estrategica,6
etapa proceso,6
evolucion,6
expansion,6
exposicion feria,6
exposicion feria concurso,6
exterior formulacion,6
feria concurso,6
financiamiento actividad,6
finanza,6
fiscalizacion control,6
fiscalizacion regimen,6
fiscalizacion registro,6
formacion capacitacion,6
formulacion implementacion,6
fortalecimiento capacidad,6
frente,6
fuerza armadas,6
funcion autoridad,6
futuro,6
gabinete interior,6
gabinete ministros,6
ganaderia,6
ganaderia pesca,6
garantia,6
gobierno extranjero,6
ilicito,6
imagen,6
implementacion evaluacion,6
implementacion sistema,6
industrializacion,6
informacion comunicacion,6
instalacion,6
instruccion,6
integrado informacion,6
intercambio informacion,6
internacional materia derechos,6
internacional republica,6
internacional republica argentino,6
internacional secretaria,6
jurisdiccional,6
liquidacion,6
lucha,6
maritimo,6
materia accion,6
materia energetico,6
materia planificacion,6
mayor,6
medida tendient,6
mejor,6
mercado interno,6
mercado mercosur,6
ministerio capital,6
ministerio capital humano,6
ministerio economia secretario,6
ministro aplicacion,6
ministro diseno,6
ministros,6
monitoreo evaluacion,6
muestra,6
nacional aspecto,6
nacional centralizado,6
nacional centralizado descentralizado,6
nacional coordinacion area,6
nacional desarrollo,6
nacional implementacion,6
nacional organismo internacional,6
nacional sistema,6
negociacion acuerdo,6
normatizacion,6
nuclear,6
objetivo ministro,6
obligatorio,6
obra servicio publico,6
organismo desconcentrado,6
organismo nacional competencia,6
organizacion direccion,6
organizacion direccion fiscalizacion,6
participacion publico,6
participacion publico privado,6
participativo,6
pequeno mediano,6
perfeccionamiento,6
perfil,6
perteneciente,6
plan programa accion,6
plan programa tendient,6
planificacion estrategia,6
policial seguridad federal,6
politica salarial,6
politica tendient,6
preventivo,6
previsto articulo,6
primario politica,6
problematica,6
proceso procedimiento,6
programa asistencia,6
programa cooperacion,6
programa tendient,6
provincia municipio,6
proyecto programa,6
publica privado,6
publico nacional ambito,6
publico nacional secretaria,6
realizacion estudio,6
regimen especial,6
regional internacional,6
reglamentario,6
reglamento,6
regulador,6
relacion gobierno,6
relacion institucional,6
relacion organismo internacional,6
relacionamiento,6
representante,6
representativo,6
requerido,6
resguardo,6
responsabilidad primario politica,6
rural,6
secretaria analisis,6
secretaria aplicacion,6
secretaria gestion,6
sector secretaria,6
seguimiento control,6
seguridad federal,6
solucion controversia,6
sujeto,6
tecnicamente,6
tecnologia informacion,6
tema vinculado,6
tematico,6
tipo,6
trabajador,6
trafico,6
abierto,5
accion area competencia,5
accion desarrollo,5
accion orientado,5
accion prevencion,5
accionaria,5
accionario gestion,5
accionario gestion director,5
acreditacion,5
actividad relativo,5
adolescente,5
aduana,5
adulto,5
afectado,5
agropecuario,5
aires materia,5
alimentacion,5
alimentario,5
alimento,5
ambito competencia accion,5
ambito competencia diseno,5
ambito competencia programa,5
ambito secretaria,5
anonimo,5
aplicacion sistema,5
archivo,5
area ministerio competencia,5
area nacional,5
argentina,5
argentino coordinacion,5
articulacion accion,5
articulacion area,5
articulacion federal,5
articulado,5
articulo modificatoria,5
aspecto relativo,5
asumido,5
asunto relativo,5
atinent,5
autonomo aires materia,5
autoridad nacional,5
bienestar,5
biocombustibl,5
cambio,5
capacitacion formacion,5
caracter nacional,5
celebracion acuerdo,5
certificacion,5
ciencia tecnologia,5
ciencio,5
ciencio tecnologia,5
circuito,5
colectivo trabajo,5
competencia coordinacion area,5
competencia implementacion,5
competencia inherente,5
competencia materia ambito,5
competencia materia desarrollo,5
competencia materia elaboracion,5
competencia seguimiento,5
complementacion,5
comun mercosur,5
concesion construccion,5
concesion construccion explotacion,5
concesion obra,5
conclusion,5
concordancia,5
conducent,5
consejo federal agropecuario,5
consejo federal educacion,5
consejo seguridad,5
consejo seguridad interior,5
construccion explotacion,5
construccion explotacion obra,5
control aplicacion,5
control posterior,5
convenio entidad,5
convenio nacional,5
cooperacion asistencia,5
cooperacion tecnico financiero,5
coordinacion gestion,5
coordinacion produccion,5
creado articulo,5
cuidado,5
cumplimiento funcion,5
cumplimiento meta,5
delegacion,5
demas area,5
demas organismo,5
denominacion,5
derecho internacional,5
derivado,5
desarrollo competitividad,5
desarrollo estudio,5
desarrollo integracion,5
desarrollo integral,5
desarrollo nacional,5
desarrollo programa,5
desarrollo promocion,5
desarrollo regional,5
descentralizado actuant,5
descentralizado actuant orbita,5
determinado,5
dialogo,5
digitalizacion,5
directo indirectamente,5
discapacidad,5
disponible,5
distinto etapa proceso,5
distribucion recurso,5
divulgacion,5
docente,5
donacion cooperacion,5
economica,5
ejecucion coordinacion,5
ejecucion seguimiento politica,5
elaboracion informe,5
elaboracion pliego base,5
electromovilidad,5
emergencia desastre,5
energia renovable,5
entidad publica,5
entidad publica privado,5
epidemiologico,5
escenario,5
especial temporario unidad,5
establecido articulo,5
estandar internacional,5
estrategico area,5
estrategico politica,5
estrategico sector,5
etapa proceso licitatorio,5
evaluacion plan,5
explotacion obra,5
expresion,5
externo coordinacion,5
federal agropecuario,5
federal coordinacion,5
federal educacion,5
federal materia,5
finalidad,5
fiscalizacion control posterior,5
formulacion ejecucion politica,5
fuerza seguridad,5
funcion autoridad aplicacion,5
funcionamiento consejo,5
gabinete ejecutivo,5
gestion distinto,5
gestion distinto etapa,5
gestion informacion,5
global sectorial,5
gobierno ciudad,5
gobierno ciudad autonomo,5
gobierno nacional gobierno,5
hecho,5
hidrico,5
identidad,5
igualdad oportunidad,5
impacto economico,5
impacto politica,5
implementacion politica publico,5
impositivo,5
impuesto,5
incorporacion tecnologia,5
indirectamente,5
infantil,5
inspeccion,5
inteligencia,5
interministerial,5
internacional elaboracion,5
internacional multilateral,5
internacional pais,5
internacional sector,5
inversion rigi coordinacion,5
involucrado,5
jefatura gabinete ministros,5
jurisdiccion ambito,5
linea accion,5
logistica,5
marcos,5
materia coordinacion,5
materia energia,5
mejora proceso,5
memoria,5
mercado comun,5
mercado comun mercosur,5
mercado internacional,5
miembro,5
minero,5
ministerio seguridad,5
mision especial,5
monitoreo seguimiento,5
motivo,5
movil,5
mujer,5
multilateral bilateral,5
mundial comercio,5
municipal ciudad,5
municipal ciudad autonomo,5
nacion provincia,5
nacional definicion,5
nacional evaluacion,5
nacional gobierno provincial,5
nacional marco,5
nacional plan,5
nacional planificacion estrategia,5
nacional politica,5
nacional provincia ciudad,5
nacional relacionado,5
nacional seguimiento,5
nacional tecnologia,5
naciones,5
naciones unidas,5
negociacion internacional,5
normalizacion,5
objetivo elaboracion,5
obra publico,5
ocde,5
oferta bien,5
oferta bien servicio,5
oficina,5
orden competencia inherente,5
ordenado,5
organismo administracion,5
organismo descentralizado actuant,5
organismo internacional materia,5
organismo nacional internacional,5
organismo provincial ciudad,5
organismo publico,5
organizacion mundial,5
organizacion mundial comercio,5
organizacion participacion,5
organizacion participacion exposicion,5
otorgamiento concesion,5
pais organismo,5
participacion exposicion,5
participacion exposicion feria,5
particular determinacion,5
particular determinacion objetivo,5
pequeno mediano empresa,5
permiso,5
poblacional,5
politica criminal,5
politica curso,5
politica curso accion,5
politica elaboracion,5
politica gestion,5
politica innovacion,5
politica integracion,5
politica nacional planificacion,5
politica promocion,5
politica vinculado,5
posterior,5
preparacion,5
presidencial,5
prevision,5
procedimiento vinculado,5
proceso concesion,5
productivo coordinacion,5
productivo nacional,5
programa promocion,5
promocion comercial,5
promocion exportacion,5
promocion organizacion,5
proteccion infraestructura,5
provincial municipal ciudad,5
proyecto infraestructura,5
proyecto normativo,5
proyecto obra,5
proyecto relacionado,5
publicacion,5
publico ambito,5
publico area,5
publico evaluacion,5
publico nacional centralizado,5
puesto,5
punto vista politica,5
realizado,5
recomendacion,5
recurso hidrico,5
reembolso,5
reembolso reintegro,5
refugiado,5
regimen importacion,5
regimen legal,5
regional provincial,5
registracion,5
rehabilitacion,5
reintegro,5
renovable,5
rentabilidad,5
representacion nacional organismo,5
republica argentino exterior,5
residencia,5
resolucion ministerio,5
resolucion secretaria,5
rigi coordinacion,5
rigi coordinacion secretaria,5
salario,5
sanidad,5
secretaria accion,5
secretaria definicion,5
secretaria diseno politica,5
secretaria ejecucion,5
secretaria general,5
secretaria marco,5
secretaria planificacion,5
secretaria secretaria,5
sector publico privado,5
seguimiento analisis,5
seguimiento plan,5
seleccion,5
sistema administracion,5
sistema educativo,5
sistema financiero,5
sistema integral,5
sistema unificado,5
sistema unificado informacion,5
social secretaria,5
sociedad anonimo,5
socio,5
sostenibilidad,5
suscripcion,5
suscripcion convenio,5
sustentabilidad,5
tarifa,5
tecnologia gestion,5
tecnologia informacion comunicacion,5
tema competencia,5
temporario unidad,5
tenencia accionario gestion,5
territorio nacion,5
terrorismo,5
titular,5
trabajo conjunto,5
tramite,5
transitorio,5
unidas,5
unificado informacion,5
vigilancia,5
vinculado area,5
violencia,5
vista politica,5
vista politica exterior,5
